2025-09-15T12:51:07.912+0800	INFO	livekit.pub	rtc/participant.go:2333	mediaTrack published	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "kind": "video", "trackID": "TR_VSwmPVbe895Pyb", "webrtcTrackID": "10eee35a-0eb7-416c-88f0-8080bfccdde6", "rid": "h", "SSRC": 2837630867, "mime": "video/VP8", "trackInfo": {"sid": "TR_VSwmPVbe895Pyb", "type": "VIDEO", "width": 1920, "height": 1080, "simulcast": true, "source": "SCREEN_SHARE", "layers": [{"quality": "LOW", "width": 960, "height": 540, "bitrate": 625000, "ssrc": 2429850847, "rid": "q"}, {"quality": "MEDIUM", "width": 1920, "height": 1080, "bitrate": 2500000, "ssrc": 2837630867, "spatialLayer": 1, "rid": "h"}], "mimeType": "video/VP8", "mid": "2", "codecs": [{"mimeType": "video/VP8", "mid": "2", "cid": "10eee35a-0eb7-416c-88f0-8080bfccdde6", "layers": [{"quality": "LOW", "width": 960, "height": 540, "bitrate": 625000, "ssrc": 2429850847, "rid": "q"}, {"quality": "MEDIUM", "width": 1920, "height": 1080, "bitrate": 2500000, "ssrc": 2837630867, "spatialLayer": 1, "rid": "h"}], "videoLayerMode": "ONE_SPATIAL_LAYER_PER_STREAM"}], "encryption": "NONE", "stream": "screen", "version": {"unixMicro": 1757911866480870}, "backupCodecPolicy": "PREFER_REGRESSION"}, "fromSdp": true, "isReceiverAdded": true, "sdpRids": ["", "", ""]}
2025-09-15T12:52:08.048+0800	INFO	livekit	rtc/participant.go:1479	participant closing	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "sendLeave": true, "reason": "CLIENT_REQUEST_LEAVE", "isExpectedToResume": false}
2025-09-15T12:52:18.415+0800	INFO	livekit.room	rtc/room.go:859	closing room	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp"}
2025-09-15T12:52:18.415+0800	INFO	livekit	service/roommanager.go:184	deleting room state	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f"}
2025-09-15T12:52:18.417+0800	INFO	livekit.room	service/roommanager.go:655	room closed	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp"}
2025-09-15T12:52:18.417+0800	INFO	livekit.room	rtc/room.go:843	closing idle room	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "reason": "departure timeout"}
2025-09-15T12:58:22.960+0800	INFO	livekit	service/roomallocator.go:166	selected node for room	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "selectedNodeID": "ND_dLDgcjGsaU9C"}
2025-09-15T12:58:22.963+0800	INFO	livekit.api	service/twirp.go:128	API RoomService.CreateRoom	{"service": "RoomService", "method": "CreateRoom", "room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "request": {"name": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "emptyTimeout": 10, "departureTimeout": 10, "metadata": "__size: 179"}, "duration": "3.033957ms", "status": "200"}
2025-09-15T12:58:23.824+0800	INFO	livekit	service/roommanager.go:408	starting RTC session	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "nodeID": "ND_dLDgcjGsaU9C", "numParticipants": 0, "participantInit": {"Identity": "274877906947", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "Client": {"sdk": "JS", "version": "2.15.6", "protocol": 16, "os": "Windows", "osVersion": "10", "deviceModel": "Other", "browser": "Electron", "browserVersion": "30.5.1"}, "Grants": {"Identity": "274877906947", "Kind": "", "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "CanPublish": "not-set", "CanSubscribe": "not-set", "CanPublishData": "not-set", "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": true, "ID": "", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "b5f3dabb-eba0-4181-96d9-5caea000de9d"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}}
2025-09-15T12:58:25.147+0800	INFO	livekit.transport	rtc/transport.go:583	ice reconnected or switched pair	{"room": "b5f3dabb-eba0-4181-96d9-5caea000de9d", "roomID": "RM_kzPD3VwxrcUc", "participant": "274877906947", "pID": "PA_atpxXB27wFcL", "remote": false, "transport": "PUBLISHER", "existingPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 52445, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 16805}, "newPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 51532, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 4343}}
